Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
group_1026		membrane protein	36	36	1	1	235				1196	1196	1196	ERR494558_01431	ERR713656_01465	ERR278423_01084	ERR083948_00787	ERR083973_00981	ERR084064_01772	ERR108372_00327	ERR128814_00861	ERR193205_00902	ERR221288_00758	ERR221374_01479	ERR278230_01173	ERR278242_01067	ERR278359_01721	ERR278461_01650	ERR343073_01191	ERR356128_01710	ERR593768_01423	H1604_01278	H1605_01408	H1606_01268	H1607_00972	H1608_01135	H1662_01339	H1664_01386	H1666_01607	H1668_01390	H1670_01408	H704_01229	SRR065736_01200
uvrC		excinuclease ABC subunit C	36	36	1	1	236				1802	1802	1802	ERR494558_01432	ERR713656_01466	ERR278423_01085	ERR083948_00788	ERR083973_00982	ERR084064_01773	ERR108372_00326	ERR128814_00862	ERR193205_00903	ERR221288_00759	ERR221374_01480	ERR278230_01172	ERR278242_01068	ERR278359_01722	ERR278461_01651	ERR343073_01192	ERR356128_01711	ERR593768_01424	H1604_01279	H1605_01409	H1606_01269	H1607_00973	H1608_01136	H1662_01340	H1664_01387	H1666_01608	H1668_01391	H1670_01409	H704_01230	SRR065736_01201
group_1028		T/U mismatch-specific DNA glycosylase	36	36	1	1	244				482	482	482	ERR494558_01440	ERR713656_01474	ERR278423_01093	ERR083948_00797	ERR083973_00991	ERR084064_01782	ERR108372_00317	ERR128814_00871	ERR193205_00912	ERR221288_00768	ERR221374_01489	ERR278230_01163	ERR278242_01077	ERR278359_01731	ERR278461_01660	ERR343073_01201	ERR356128_01720	ERR593768_01433	H1604_01288	H1605_01418	H1606_01278	H1607_00982	H1608_01145	H1662_01349	H1664_01396	H1666_01617	H1668_01400	H1670_01418	H704_01239	SRR065736_01210
yfkJ		protein-tyrosine phosphatase	36	36	1	1	248				455	461	456	ERR494558_01444	ERR713656_01478	ERR278423_01097	ERR083948_00801	ERR083973_00994	ERR084064_01786	ERR108372_00314	ERR128814_00874	ERR193205_00915	ERR221288_00771	ERR221374_01493	ERR278230_01159	ERR278242_01081	ERR278359_01735	ERR278461_01664	ERR343073_01204	ERR356128_01724	ERR593768_01437	H1604_01291	H1605_01421	H1606_01281	H1607_00985	H1608_01149	H1662_01353	H1664_01400	H1666_01621	H1668_01404	H1670_01422	H704_01242	SRR065736_01213
dnaJ-2		chaperone protein DnaJ	36	36	1	1	250				1046	1124	1120	ERR494558_01446	ERR713656_01480	ERR278423_01099	ERR083948_00804	ERR083973_00996	ERR084064_01788	ERR108372_00312	ERR128814_00876	ERR193205_00917	ERR221288_00773	ERR221374_01496	ERR278230_01156	ERR278242_01084	ERR278359_01737	ERR278461_01666	ERR343073_01206	ERR356128_01726	ERR593768_01439	H1604_01293	H1605_01423	H1606_01283	H1607_00987	H1608_01151	H1662_01355	H1664_01402	H1666_01624	H1668_01406	H1670_01424	H704_01244	SRR065736_01215
regX3_2		Two-component system response regulator RacR	36	36	1	1	251				392	671	661	ERR494558_01447	ERR713656_01481	ERR278423_01100	ERR083948_00805	ERR083973_00997	ERR084064_01789	ERR108372_00311	ERR128814_00877	ERR193205_00918	ERR221288_00774	ERR221374_01497	ERR278230_01155	ERR278242_01085	ERR278359_01738	ERR278461_01667	ERR343073_01207	ERR356128_01727	ERR593768_01440	H1604_01294	H1605_01424	H1606_01284	H1607_00988	H1608_01152	H1662_01356	H1664_01403	H1666_01625	H1668_01407	H1670_01425	H704_01245	SRR065736_01216
group_1034		Menaquinone via futalosine step 1	36	36	1	1	294				671	671	671	ERR494558_01472	ERR713656_01506	ERR278423_01125	ERR083948_00830	ERR083973_01022	ERR084064_01814	ERR108372_00286	ERR128814_00902	ERR193205_00943	ERR221288_00799	ERR221374_01522	ERR278230_01130	ERR278242_01110	ERR278359_01763	ERR278461_01692	ERR343073_01232	ERR356128_01807	ERR593768_01465	H1604_01318	H1605_01449	H1606_01309	H1607_01013	H1608_01177	H1662_01382	H1664_01429	H1666_00758	H1668_01432	H1670_01450	H704_01270	SRR065736_01241
capD		"UDP-GlcNAc-specific C4,6 dehydratase/C5 epimerase (PseB, first step of pseudaminic acid biosynthesis)"	36	36	1	1	286				1004	1004	1004	ERR494558_01480	ERR713656_01514	ERR278423_01133	ERR083948_00838	ERR083973_01030	ERR084064_01822	ERR108372_00278	ERR128814_00910	ERR193205_00951	ERR221288_00807	ERR221374_01530	ERR278230_01122	ERR278242_01118	ERR278359_01771	ERR278461_01700	ERR343073_01240	ERR356128_01815	ERR593768_01473	H1604_01326	H1605_01458	H1606_01317	H1607_01021	H1608_01185	H1662_01390	H1664_01437	H1666_00766	H1668_01440	H1670_01458	H704_01278	SRR065736_01249
neuA		putative acylneuraminate cytidylyltransferase	36	36	1	1	2559				698	698	698	ERR494558_01499	ERR713656_01531	ERR278423_01152	ERR083948_00846	ERR083973_01047	ERR084064_01841	ERR108372_00259	ERR128814_00930	ERR193205_00971	ERR221288_00827	ERR221374_01539	ERR278230_01114	ERR278242_01126	ERR278359_01789	ERR278461_01719	ERR343073_01262	ERR356128_01838	ERR593768_01490	H1604_01342	H1605_01474	H1606_01336	H1607_01041	H1608_01195	H1662_01406	H1664_01453	H1666_00774	H1668_01457	H1670_01476	H704_01292	SRR065736_01266
hisF-1		imidazole glycerol phosphate synthase subunit HisF	36	36	1	1	2599				746	746	746	ERR494558_01502	ERR713656_01534	ERR278423_01155	ERR083948_00850	ERR083973_01050	ERR084064_01844	ERR108372_00256	ERR128814_00933	ERR193205_00974	ERR221288_00830	ERR221374_01543	ERR278230_01110	ERR278242_01130	ERR278359_01792	ERR278461_01722	ERR343073_01265	ERR356128_01841	ERR593768_01493	H1604_01345	H1605_01477	H1606_01339	H1607_01044	H1608_01199	H1662_01409	H1664_01457	H1666_00778	H1668_01460	H1670_01479	H704_01295	SRR065736_01269
hisH_1		imidazole glycerol phosphate synthase	36	36	1	1	2600				605	605	605	ERR494558_01503	ERR713656_01535	ERR278423_01156	ERR083948_00851	ERR083973_01051	ERR084064_01845	ERR108372_00255	ERR128814_00934	ERR193205_00975	ERR221288_00831	ERR221374_01544	ERR278230_01109	ERR278242_01131	ERR278359_01793	ERR278461_01723	ERR343073_01266	ERR356128_01842	ERR593768_01494	H1604_01346	H1605_01478	H1606_01340	H1607_01045	H1608_01200	H1662_01410	H1664_01458	H1666_00779	H1668_01461	H1670_01480	H704_01296	SRR065736_01270
xcpT		transformation system protein	36	36	1	1	2493				515	515	515	ERR494558_01521	ERR713656_01563	ERR278423_01185	ERR083948_01451	ERR083973_01079	ERR084064_00829	ERR108372_01008	ERR128814_00962	ERR193205_01002	ERR221288_01328	ERR221374_01554	ERR278230_01100	ERR278242_01141	ERR278359_00955	ERR278461_00999	ERR343073_01797	ERR356128_01057	ERR593768_01516	H1604_01368	H1605_01497	H1606_01359	H1607_01064	H1608_01207	H1662_01431	H1664_01465	H1666_00786	H1668_01485	H1670_01501	H704_01320	SRR065736_01290
gcp		DNA-binding/iron metalloprotein/AP endonuclease	36	36	1	1	2488				1007	1007	1007	ERR494558_01522	ERR713656_01564	ERR278423_01186	ERR083948_01450	ERR083973_01080	ERR084064_00830	ERR108372_01007	ERR128814_00963	ERR193205_01003	ERR221288_01327	ERR221374_01555	ERR278230_01099	ERR278242_01142	ERR278359_00956	ERR278461_01000	ERR343073_01796	ERR356128_01058	ERR593768_01517	H1604_01369	H1605_01498	H1606_01360	H1607_01065	H1608_01208	H1662_01432	H1664_01466	H1666_00787	H1668_01486	H1670_01502	H704_01321	SRR065736_01291
dxr		1-deoxy-D-xylulose 5-phosphate reductoisomerase	36	36	1	1	2486				1070	1070	1070	ERR494558_01524	ERR713656_01566	ERR278423_01188	ERR083948_01448	ERR083973_01082	ERR084064_00832	ERR108372_01005	ERR128814_00965	ERR193205_01005	ERR221288_01325	ERR221374_01557	ERR278230_01097	ERR278242_01144	ERR278359_00958	ERR278461_01002	ERR343073_01794	ERR356128_01060	ERR593768_01520	H1604_01371	H1605_01500	H1606_01362	H1607_01067	H1608_01210	H1662_01434	H1664_01468	H1666_00789	H1668_01488	H1670_01504	H704_01323	SRR065736_01293
cdsA		phosphatidate cytidylyltransferase	36	36	1	1	2485				725	725	725	ERR494558_01525	ERR713656_01567	ERR278423_01189	ERR083948_01447	ERR083973_01083	ERR084064_00833	ERR108372_01004	ERR128814_00966	ERR193205_01006	ERR221288_01324	ERR221374_01558	ERR278230_01096	ERR278242_01145	ERR278359_00959	ERR278461_01003	ERR343073_01793	ERR356128_01061	ERR593768_01521	H1604_01372	H1605_01501	H1606_01363	H1607_01068	H1608_01211	H1662_01435	H1664_01469	H1666_00790	H1668_01489	H1670_01505	H704_01324	SRR065736_01294
pyrE_2		phosphoribosyltransferase	36	36	1	1	2454				443	443	443	ERR494558_01549	ERR713656_01591	ERR278423_01213	ERR083948_01421	ERR083973_01112	ERR084064_00859	ERR108372_00976	ERR128814_00996	ERR193205_01035	ERR221288_01294	ERR221374_01584	ERR278230_01070	ERR278242_01171	ERR278359_00985	ERR278461_01027	ERR343073_01763	ERR356128_01085	ERR593768_01545	H1604_01399	H1605_01529	H1606_01391	H1607_01097	H1608_01237	H1662_01459	H1664_01495	H1666_00816	H1668_01513	H1670_01529	H704_01351	SRR065736_01321
mlaA		VacJ family lipoprotein	36	36	1	1	2453				698	698	698	ERR494558_01550	ERR713656_01592	ERR278423_01214	ERR083948_01420	ERR083973_01113	ERR084064_00860	ERR108372_00975	ERR128814_00997	ERR193205_01036	ERR221288_01293	ERR221374_01585	ERR278230_01069	ERR278242_01172	ERR278359_00986	ERR278461_01028	ERR343073_01762	ERR356128_01086	ERR593768_01546	H1604_01400	H1605_01530	H1606_01392	H1607_01098	H1608_01238	H1662_01460	H1664_01496	H1666_00817	H1668_01514	H1670_01530	H704_01352	SRR065736_01322
group_1050		ferredoxin	36	36	1	1	2447				1661	1673	1667	ERR494558_01556	ERR713656_01598	ERR278423_01220	ERR083948_01415	ERR083973_01118	ERR084064_00865	ERR108372_00970	ERR128814_01002	ERR193205_01041	ERR221288_01288	ERR221374_01590	ERR278230_01064	ERR278242_01177	ERR278359_00991	ERR278461_01034	ERR343073_01757	ERR356128_01092	ERR593768_01552	H1604_01406	H1605_01535	H1606_01397	H1607_01103	H1608_01243	H1662_01466	H1664_01501	H1666_00822	H1668_01520	H1670_01536	H704_01358	SRR065736_01328
selA		selenocysteine synthase	36	36	1	1	2446				734	1322	1305	ERR494558_01557	ERR713656_01599	ERR278423_01221	ERR083948_01414	ERR083973_01119	ERR084064_00866	ERR108372_00969	ERR128814_01003	ERR193205_01042	ERR221288_01287	ERR221374_01591	ERR278230_01063	ERR278242_01178	ERR278359_00992	ERR278461_01035	ERR343073_01756	ERR356128_01093	ERR593768_01553	H1604_01407	H1605_01536	H1606_01398	H1607_01104	H1608_01244	H1662_01467	H1664_01502	H1666_00823	H1668_01521	H1670_01537	H704_01359	SRR065736_01329
group_1053		putative lipoprotein	36	36	1	1	2443				530	551	531	ERR494558_01560	ERR713656_01602	ERR278423_01224	ERR083948_01411	ERR083973_01122	ERR084064_00869	ERR108372_00966	ERR128814_01006	ERR193205_01045	ERR221288_01284	ERR221374_01594	ERR278230_01060	ERR278242_01181	ERR278359_00995	ERR278461_01038	ERR343073_01753	ERR356128_01096	ERR593768_01556	H1604_01410	H1605_01539	H1606_01401	H1607_01107	H1608_01247	H1662_01470	H1664_01505	H1666_00826	H1668_01524	H1670_01541	H704_01362	SRR065736_01332
pcaB		Adenylosuccinate lyase	36	36	1	1	2429				1367	1367	1367	ERR494558_01573	ERR713656_01615	ERR278423_01237	ERR083948_01401	ERR083973_01132	ERR084064_00879	ERR108372_00956	ERR128814_01017	ERR193205_01055	ERR221288_01274	ERR221374_01604	ERR278230_01050	ERR278242_01191	ERR278359_01005	ERR278461_01051	ERR343073_01742	ERR356128_01109	ERR593768_01569	H1604_01420	H1605_01551	H1606_01412	H1607_01118	H1608_01257	H1662_01483	H1664_01515	H1666_00836	H1668_01537	H1670_01554	H704_01372	SRR065736_00353
group_1058		integral membrane protein	36	36	1	1	2408				1121	1121	1121	ERR494558_01591	ERR713656_01633	ERR278423_01256	ERR083948_01384	ERR083973_01149	ERR084064_00897	ERR108372_00939	ERR128814_01036	ERR193205_01072	ERR221288_01257	ERR221374_01621	ERR278230_01033	ERR278242_01208	ERR278359_01023	ERR278461_01069	ERR343073_01723	ERR356128_01128	ERR593768_01587	H1604_01438	H1605_01570	H1606_01429	H1607_01135	H1608_01274	H1662_01501	H1664_01533	H1666_00854	H1668_01555	H1670_01572	H704_01389	SRR065736_00370
group_1059		capsule polysaccharide export protein KpsS	36	36	1	1	2407				1184	1187	1184	ERR494558_01592	ERR713656_01634	ERR278423_01257	ERR083948_01383	ERR083973_01150	ERR084064_00898	ERR108372_00938	ERR128814_01037	ERR193205_01073	ERR221288_01256	ERR221374_01622	ERR278230_01032	ERR278242_01209	ERR278359_01024	ERR278461_01070	ERR343073_01722	ERR356128_01129	ERR593768_01588	H1604_01439	H1605_01571	H1606_01430	H1607_01136	H1608_01275	H1662_01502	H1664_01534	H1666_00855	H1668_01556	H1670_01573	H704_01390	SRR065736_00371
group_1064		Hypothetical UPF0306 protein Cj1449c	36	36	1	1	981				407	407	407	ERR494558_01611	ERR713656_01664	ERR278423_01286	ERR083948_00887	ERR083973_01192	ERR084064_00940	ERR108372_00898	ERR128814_01059	ERR193205_01114	ERR221288_01215	ERR221374_00976	ERR278230_00802	ERR278242_00606	ERR278359_01070	ERR278461_01109	ERR343073_01700	ERR356128_01166	ERR593768_01607	H1604_01456	H1605_01592	H1606_01469	H1607_01176	H1608_01290	H1662_01519	H1664_01552	H1666_00870	H1668_01593	H1670_01592	H704_01406	SRR065736_01351
group_1065		putative ATP/GTP-binding protein	36	36	1	1	982				563	575	564	ERR494558_01612	ERR713656_01665	ERR278423_01287	ERR083948_00888	ERR083973_01193	ERR084064_00941	ERR108372_00897	ERR128814_01060	ERR193205_01115	ERR221288_01214	ERR221374_00977	ERR278230_00803	ERR278242_00607	ERR278359_01071	ERR278461_01110	ERR343073_01699	ERR356128_01167	ERR593768_01608	H1604_01457	H1605_01593	H1606_01470	H1607_01177	H1608_01291	H1662_01520	H1664_01553	H1666_00871	H1668_01594	H1670_01593	H704_01407	SRR065736_01352
dut		deoxyuridine triphosphatase domain protein	36	36	1	1	983				689	689	689	ERR494558_01613	ERR713656_01666	ERR278423_01288	ERR083948_00889	ERR083973_01194	ERR084064_00942	ERR108372_00896	ERR128814_01061	ERR193205_01116	ERR221288_01213	ERR221374_00978	ERR278230_00804	ERR278242_00608	ERR278359_01072	ERR278461_01111	ERR343073_01698	ERR356128_01168	ERR593768_01609	H1604_01458	H1605_01594	H1606_01471	H1607_01178	H1608_01292	H1662_01521	H1664_01554	H1666_00872	H1668_01595	H1670_01594	H704_01408	SRR065736_01353
group_1067		integral membrane protein	36	36	1	1	985				296	713	682	ERR494558_01614	ERR713656_01667	ERR278423_01289	ERR083948_00890	ERR083973_01195	ERR084064_00943	ERR108372_00895	ERR128814_01062	ERR193205_01117	ERR221288_01212	ERR221374_00979	ERR278230_00805	ERR278242_00609	ERR278359_01073	ERR278461_01112	ERR343073_01697	ERR356128_01169	ERR593768_01610	H1604_01459	H1605_01595	H1606_01472	H1607_01179	H1608_01293	H1662_01522	H1664_01555	H1666_00873	H1668_01596	H1670_01595	H704_01409	SRR065736_01354
thiL		thiamine monophosphate kinase	36	36	1	1	1120				821	821	821	ERR494558_01620	ERR713656_01673	ERR278423_01295	ERR083948_00896	ERR083973_01201	ERR084064_00949	ERR108372_00889	ERR128814_01068	ERR193205_01123	ERR221288_01206	ERR221374_00985	ERR278230_00811	ERR278242_00615	ERR278359_01079	ERR278461_01118	ERR343073_01691	ERR356128_01175	ERR593768_01616	H1604_01465	H1605_01601	H1606_01478	H1607_01185	H1608_01299	H1662_01528	H1664_01561	H1666_00879	H1668_01602	H1670_01601	H704_01415	SRR065736_01360
group_1071		FIG00470019: hypothetical protein	36	36	1	1	1119				1073	1073	1073	ERR494558_01621	ERR713656_01674	ERR278423_01296	ERR083948_00897	ERR083973_01202	ERR084064_00950	ERR108372_00888	ERR128814_01069	ERR193205_01124	ERR221288_01205	ERR221374_00986	ERR278230_00812	ERR278242_00616	ERR278359_01080	ERR278461_01119	ERR343073_01690	ERR356128_01176	ERR593768_01617	H1604_01466	H1605_01602	H1606_01479	H1607_01186	H1608_01300	H1662_01529	H1664_01562	H1666_00880	H1668_01603	H1670_01602	H704_01416	SRR065736_01361
group_1072		Ornithine carbamoyltransferase	36	36	1	1	1118				383	383	383	ERR494558_01622	ERR713656_01675	ERR278423_01297	ERR083948_00898	ERR083973_01203	ERR084064_00951	ERR108372_00887	ERR128814_01070	ERR193205_01125	ERR221288_01204	ERR221374_00987	ERR278230_00813	ERR278242_00617	ERR278359_01081	ERR278461_01120	ERR343073_01689	ERR356128_01177	ERR593768_01618	H1604_01467	H1605_01603	H1606_01480	H1607_01187	H1608_01301	H1662_01530	H1664_01563	H1666_00881	H1668_01604	H1670_01603	H704_01417	SRR065736_01362
rsmD		"site-specific DNA methyltransferase, RsmD family"	36	36	1	1	1117				686	686	686	ERR494558_01623	ERR713656_01676	ERR278423_01298	ERR083948_00899	ERR083973_01204	ERR084064_00952	ERR108372_00886	ERR128814_01071	ERR193205_01126	ERR221288_01203	ERR221374_00988	ERR278230_00814	ERR278242_00618	ERR278359_01082	ERR278461_01121	ERR343073_01688	ERR356128_01178	ERR593768_01619	H1604_01468	H1605_01604	H1606_01481	H1607_01188	H1608_01302	H1662_01531	H1664_01564	H1666_00882	H1668_01605	H1670_01604	H704_01418	SRR065736_01363
group_1074		FIG00469843: hypothetical protein	36	36	1	1	1111				674	764	756	ERR494558_01629	ERR713656_01682	ERR278423_01304	ERR083948_00905	ERR083973_01210	ERR084064_00958	ERR108372_00880	ERR128814_01077	ERR193205_01132	ERR221288_01197	ERR221374_00994	ERR278230_00820	ERR278242_00624	ERR278359_01088	ERR278461_01127	ERR343073_01682	ERR356128_01184	ERR593768_01625	H1604_01474	H1605_01610	H1606_01487	H1607_01194	H1608_01308	H1662_01537	H1664_01570	H1666_00888	H1668_01611	H1670_01610	H704_01424	SRR065736_01369
yfcA		Putative membrane protein YfcA	36	36	1	1	1110				245	764	749	ERR494558_01630	ERR713656_01683	ERR278423_01305	ERR083948_00906	ERR083973_01211	ERR084064_00959	ERR108372_00879	ERR128814_01078	ERR193205_01133	ERR221288_01196	ERR221374_00995	ERR278230_00821	ERR278242_00625	ERR278359_01089	ERR278461_01128	ERR343073_01681	ERR356128_01185	ERR593768_01626	H1604_01475	H1605_01611	H1606_01488	H1607_01195	H1608_01309	H1662_01538	H1664_01571	H1666_00889	H1668_01612	H1670_01611	H704_01425	SRR065736_01370
ppaX		"HAD-superfamily hydrolase, subfamily IA, variant 1 family"	36	36	1	1	1100				641	641	641	ERR494558_01638	ERR713656_01691	ERR278423_01314	ERR083948_00916	ERR083973_01219	ERR084064_00967	ERR108372_00871	ERR128814_01086	ERR193205_01142	ERR221288_01188	ERR221374_01004	ERR278230_00830	ERR278242_00635	ERR278359_01097	ERR278461_01136	ERR343073_01673	ERR356128_01193	ERR593768_01634	H1604_01483	H1605_01619	H1606_01496	H1607_01203	H1608_01318	H1662_01546	H1664_01579	H1666_00898	H1668_01620	H1670_01619	H704_01433	SRR065736_01378
group_1077		FIG00469556: hypothetical protein	36	36	1	1	1080				236	428	422	ERR494558_01659	ERR713656_01712	ERR278423_01335	ERR083948_00936	ERR083973_01239	ERR084064_00987	ERR108372_00851	ERR128814_01106	ERR193205_01162	ERR221288_01168	ERR221374_01024	ERR278230_00851	ERR278242_00656	ERR278359_01117	ERR278461_01156	ERR343073_01653	ERR356128_01214	ERR593768_01655	H1604_01504	H1605_01639	H1606_01516	H1607_01223	H1608_01338	H1662_01567	H1664_01599	H1666_00918	H1668_01640	H1670_01640	H704_01453	SRR065736_01398
fdoI		"Putative formate dehydrogenase, cytochrome B subunit"	36	36	1	1	1068				932	965	933	ERR494558_01671	ERR713656_01724	ERR278423_01347	ERR083948_00948	ERR083973_01251	ERR084064_00999	ERR108372_00839	ERR128814_01118	ERR193205_01174	ERR221288_01156	ERR221374_01036	ERR278230_00863	ERR278242_00668	ERR278359_01129	ERR278461_01168	ERR343073_01641	ERR356128_01226	ERR593768_01667	H1604_01516	H1605_01652	H1606_01528	H1607_01235	H1608_01350	H1662_01580	H1664_01611	H1666_00930	H1668_01653	H1670_01653	H704_01465	SRR065736_01410
fdhA		"formate dehydrogenase, alpha subunit"	36	36	1	1	1066				1964	2240	2227	ERR494558_01673	ERR713656_01726	ERR278423_01349	ERR083948_00950	ERR083973_01253	ERR084064_01001	ERR108372_00837	ERR128814_01120	ERR193205_01176	ERR221288_01154	ERR221374_01038	ERR278230_00865	ERR278242_00670	ERR278359_01131	ERR278461_01170	ERR343073_01639	ERR356128_01228	ERR593768_01669	H1604_01518	H1605_01654	H1606_01530	H1607_01237	H1608_01353	H1662_01582	H1664_01613	H1666_00932	H1668_01655	H1670_01655	H704_01467	SRR065736_01412
