Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,OXC8500,OXC8749,OXC8885,OXC4567,OXC6332,OXC6357,OXC6453,OXC6609,OXC6729,OXC7157,OXC7004,OXC7095,OXC7345,OXC7358,OXC7452,OXC4632,OXC7664,OXC6927,H1604,H1605,H1606,H1607,H1608,H1662,H1664,H1666,H1668,H1670,H704,H22082
ubiE,,ubiquinone/menaquinone biosynthesis methyltransferase,36,36,1,1,1339,,,,707,707,707,OXC8500_00107,OXC8749_00480,OXC8885_01129,OXC4567_00797,OXC6332_01341,OXC6357_00321,OXC6453_01056,OXC6609_01242,OXC6729_00692,OXC7157_00281,OXC7004_00468,OXC7095_00986,OXC7345_00277,OXC7358_00910,OXC7452_00963,OXC4632_00640,OXC7664_00427,OXC6927_00296,H1604_00724,H1605_00698,H1606_00823,H1607_00171,H1608_00527,H1662_00484,H1664_00430,H1666_00104,H1668_00107,H1670_00872,H704_01108,H22082_00180
perR,,peroxide stress regulator,36,36,1,1,1337,,,,410,410,410,OXC8500_00109,OXC8749_00482,OXC8885_01127,OXC4567_00795,OXC6332_01339,OXC6357_00319,OXC6453_01054,OXC6609_01240,OXC6729_00690,OXC7157_00279,OXC7004_00466,OXC7095_00988,OXC7345_00275,OXC7358_00912,OXC7452_00965,OXC4632_00638,OXC7664_00429,OXC6927_00298,H1604_00722,H1605_00696,H1606_00821,H1607_00169,H1608_00525,H1662_00486,H1664_00428,H1666_00102,H1668_00109,H1670_00870,H704_01110,H22082_00178
nagD,,HAD family hydrolase,36,36,1,1,1330,,,,767,767,767,OXC8500_00116,OXC8749_00489,OXC8885_01120,OXC4567_00788,OXC6332_01332,OXC6357_00312,OXC6453_01047,OXC6609_01233,OXC6729_00683,OXC7157_00272,OXC7004_00459,OXC7095_00995,OXC7345_00268,OXC7358_00919,OXC7452_00972,OXC4632_00631,OXC7664_00436,OXC6927_00305,H1604_00715,H1605_00689,H1606_00814,H1607_00162,H1608_00518,H1662_00493,H1664_00421,H1666_00095,H1668_00116,H1670_00863,H704_01262,H22082_00171
bioD,,dethiobiotin synthetase,36,36,1,1,1322,,,,605,605,605,OXC8500_00123,OXC8749_00496,OXC8885_01113,OXC4567_00781,OXC6332_01325,OXC6357_00305,OXC6453_01040,OXC6609_01226,OXC6729_00676,OXC7157_00265,OXC7004_00452,OXC7095_01002,OXC7345_00261,OXC7358_00926,OXC7452_00979,OXC4632_00624,OXC7664_00443,OXC6927_00312,H1604_00708,H1605_00682,H1606_00807,H1607_00155,H1608_00511,H1662_00500,H1664_00413,H1666_00088,H1668_00123,H1670_00856,H704_01269,H22082_00164
surE,,5-nucleotidase SurE,36,36,1,1,1304,,,,773,776,775,OXC8500_00138,OXC8749_00511,OXC8885_01098,OXC4567_00766,OXC6332_01314,OXC6357_00290,OXC6453_01025,OXC6609_01211,OXC6729_00662,OXC7157_00253,OXC7004_00437,OXC7095_01013,OXC7345_00250,OXC7358_00937,OXC7452_00994,OXC4632_00609,OXC7664_00457,OXC6927_00327,H1604_00693,H1605_00668,H1606_00795,H1607_00143,H1608_00500,H1662_00515,H1664_00398,H1666_00077,H1668_00138,H1670_00841,H704_01284,H22082_00149
peb3,,major antigenic peptide PEB3,36,36,1,1,1300,,,,752,752,752,OXC8500_00141,OXC8749_00514,OXC8885_01095,OXC4567_00763,OXC6332_01312,OXC6357_00288,OXC6453_01021,OXC6609_01209,OXC6729_00660,OXC7157_00250,OXC7004_00433,OXC7095_01015,OXC7345_00248,OXC7358_00939,OXC7452_00998,OXC4632_00606,OXC7664_00459,OXC6927_00330,H1604_00690,H1605_00666,H1606_00792,H1607_00140,H1608_00498,H1662_00518,H1664_00394,H1666_00075,H1668_00141,H1670_00838,H704_01286,H22082_00147
group_1050,,"UDP-2,3-diacylglucosamine hydrolase",36,36,1,1,1295,,,,617,635,626,OXC8500_00144,OXC8749_00517,OXC8885_01092,OXC4567_00760,OXC6332_01309,OXC6357_00281,OXC6453_01014,OXC6609_01202,OXC6729_00657,OXC7157_00244,OXC7004_00426,OXC7095_01018,OXC7345_00245,OXC7358_00942,OXC7452_01005,OXC4632_00603,OXC7664_00462,OXC6927_00333,H1604_00687,H1605_00663,H1606_00785,H1607_00133,H1608_00495,H1662_00521,H1664_00387,H1666_00072,H1668_00144,H1670_00835,H704_01289,H22082_00144
serB,,phosphoserine phosphatase,36,36,1,1,1291,,,,623,623,623,OXC8500_00148,OXC8749_00521,OXC8885_01088,OXC4567_00756,OXC6332_01305,OXC6357_00277,OXC6453_01010,OXC6609_01198,OXC6729_00653,OXC7157_00240,OXC7004_00422,OXC7095_01022,OXC7345_00241,OXC7358_00946,OXC7452_01009,OXC4632_00599,OXC7664_00466,OXC6927_00337,H1604_00683,H1605_00659,H1606_00781,H1607_00129,H1608_00491,H1662_00525,H1664_00383,H1666_00068,H1668_00148,H1670_00831,H704_01293,H22082_00140
tal,,transaldolase,36,36,1,1,1290,,,,977,977,977,OXC8500_00149,OXC8749_00522,OXC8885_01087,OXC4567_00755,OXC6332_01304,OXC6357_00276,OXC6453_01009,OXC6609_01197,OXC6729_00652,OXC7157_00239,OXC7004_00421,OXC7095_01023,OXC7345_00240,OXC7358_00947,OXC7452_01010,OXC4632_00598,OXC7664_00467,OXC6927_00338,H1604_00682,H1605_00658,H1606_00780,H1607_00128,H1608_00490,H1662_00526,H1664_00382,H1666_00067,H1668_00149,H1670_00830,H704_01294,H22082_00139
group_1053,,integral membrane protein,36,36,1,1,1277,,,,530,530,530,OXC8500_00162,OXC8749_00535,OXC8885_01074,OXC4567_00742,OXC6332_01291,OXC6357_00263,OXC6453_00996,OXC6609_01184,OXC6729_00639,OXC7157_00226,OXC7004_00408,OXC7095_01036,OXC7345_00227,OXC7358_00960,OXC7452_01023,OXC4632_00585,OXC7664_00480,OXC6927_00351,H1604_00669,H1605_00645,H1606_00767,H1607_00115,H1608_00477,H1662_00539,H1664_00369,H1666_00054,H1668_00162,H1670_00817,H704_01307,H22082_01151
lpxK,,tetraacyldisaccharide 4'-kinase,36,36,1,1,2320,,,,923,926,925,OXC8500_00169,OXC8749_01285,OXC8885_01275,OXC4567_01148,OXC6332_01552,OXC6357_01674,OXC6453_01247,OXC6609_01565,OXC6729_01014,OXC7157_01262,OXC7004_01031,OXC7095_01558,OXC7345_01411,OXC7358_00978,OXC7452_01200,OXC4632_01062,OXC7664_01692,OXC6927_00370,H1604_01431,H1605_01699,H1606_01018,H1607_00985,H1608_00222,H1662_01153,H1664_01681,H1666_01589,H1668_01092,H1670_00981,H704_01235,H22082_00453
nadE,,NAD synthetase,36,36,1,1,2319,,,,740,740,740,OXC8500_00170,OXC8749_01286,OXC8885_01274,OXC4567_01147,OXC6332_01551,OXC6357_01675,OXC6453_01246,OXC6609_01566,OXC6729_01015,OXC7157_01261,OXC7004_01030,OXC7095_01559,OXC7345_01410,OXC7358_00977,OXC7452_01199,OXC4632_01063,OXC7664_01693,OXC6927_00369,H1604_01430,H1605_01700,H1606_01017,H1607_00984,H1608_00221,H1662_01152,H1664_01682,H1666_01588,H1668_01093,H1670_00982,H704_01236,H22082_00452
msbA,,lipid export ABC transport protein,36,36,1,1,2310,,,,1742,1742,1742,OXC8500_00177,OXC8749_01293,OXC8885_01267,OXC4567_01140,OXC6332_01544,OXC6357_01682,OXC6453_01239,OXC6609_01573,OXC6729_01022,OXC7157_01254,OXC7004_01023,OXC7095_01566,OXC7345_01403,OXC7358_00970,OXC7452_01192,OXC4632_01070,OXC7664_01700,OXC6927_00362,H1604_01423,H1605_01707,H1606_01010,H1607_00977,H1608_00214,H1662_01145,H1664_01689,H1666_01581,H1668_01100,H1670_00989,H704_01243,H22082_00445
ddl,,D-alanyl-alanine synthetase A,36,36,1,1,2304,,,,1040,1040,1040,OXC8500_00182,OXC8749_01298,OXC8885_01262,OXC4567_01135,OXC6332_01539,OXC6357_01687,OXC6453_01234,OXC6609_01578,OXC6729_01027,OXC7157_01249,OXC7004_01018,OXC7095_01571,OXC7345_01398,OXC7358_00965,OXC7452_01187,OXC4632_01075,OXC7664_01705,OXC6927_00357,H1604_01418,H1605_01712,H1606_01005,H1607_00972,H1608_00209,H1662_01140,H1664_01695,H1666_01576,H1668_01105,H1670_00994,H704_01248,H22082_00440
murF,,UDP-N-acetylmuramoyl-tripeptide D-alanyl-D-alanine ligase,36,36,1,1,2301,,,,1427,1427,1427,OXC8500_00185,OXC8749_01301,OXC8885_01259,OXC4567_01132,OXC6332_01536,OXC6357_01690,OXC6453_01231,OXC6609_01581,OXC6729_01030,OXC7157_01246,OXC7004_01015,OXC7095_01574,OXC7345_01395,OXC7358_00962,OXC7452_01184,OXC4632_01078,OXC7664_01708,OXC6927_00354,H1604_01415,H1605_01715,H1606_01002,H1607_00969,H1608_00206,H1662_01137,H1664_01698,H1666_01573,H1668_01108,H1670_00997,H704_01251,H22082_00437
group_1061,,"ABC transporter, permease protein",36,36,1,1,1942,,,,593,779,763,OXC8500_00199,OXC8749_00069,OXC8885_00940,OXC4567_00374,OXC6332_01240,OXC6357_00750,OXC6453_00506,OXC6609_00594,OXC6729_01087,OXC7157_00855,OXC7004_00702,OXC7095_01482,OXC7345_00553,OXC7358_00410,OXC7452_00369,OXC4632_01046,OXC7664_00603,OXC6927_00851,H1604_00305,H1605_00621,H1606_00508,H1607_00487,H1608_00742,H1662_00360,H1664_00839,H1666_01324,H1668_01072,H1670_00585,H704_01532,H22082_01394
htpX,,"Peptidase, M48 family protein",36,36,1,1,1950,,,,1187,1187,1187,OXC8500_00207,OXC8749_00077,OXC8885_00932,OXC4567_00382,OXC6332_01250,OXC6357_00742,OXC6453_00498,OXC6609_00602,OXC6729_01095,OXC7157_00847,OXC7004_00710,OXC7095_01492,OXC7345_00563,OXC7358_00420,OXC7452_00377,OXC4632_01038,OXC7664_00611,OXC6927_00843,H1604_00297,H1605_00613,H1606_00500,H1607_00479,H1608_00752,H1662_00352,H1664_00831,H1666_01334,H1668_01064,H1670_00593,H704_01540,H22082_01402
rimM,,16S rRNA processing protein RimM,36,36,1,1,1962,,,,188,539,529,OXC8500_00218,OXC8749_00088,OXC8885_00921,OXC4567_00393,OXC6332_01261,OXC6357_00731,OXC6453_00487,OXC6609_00613,OXC6729_01106,OXC7157_00836,OXC7004_00721,OXC7095_01503,OXC7345_00574,OXC7358_00431,OXC7452_00388,OXC4632_01027,OXC7664_00622,OXC6927_00832,H1604_00286,H1605_00602,H1606_00489,H1607_00468,H1608_00763,H1662_00341,H1664_00820,H1666_01345,H1668_01053,H1670_00604,H704_01472,H22082_00782
ffh,,signal recognition particle protein,36,36,1,1,1965,,,,1040,1337,1328,OXC8500_00221,OXC8749_00091,OXC8885_00918,OXC4567_00396,OXC6332_01264,OXC6357_00728,OXC6453_00484,OXC6609_00616,OXC6729_01109,OXC7157_00833,OXC7004_00724,OXC7095_01506,OXC7345_00577,OXC7358_00434,OXC7452_00391,OXC4632_01024,OXC7664_00625,OXC6927_00829,H1604_00283,H1605_00600,H1606_00486,H1607_00465,H1608_00766,H1662_00338,H1664_00817,H1666_01348,H1668_01050,H1670_00607,H704_01469,H22082_00779
truC,,pseudouridylate synthase,36,36,1,1,1966,,,,752,752,752,OXC8500_00222,OXC8749_00092,OXC8885_00917,OXC4567_00397,OXC6332_01265,OXC6357_00727,OXC6453_00483,OXC6609_00617,OXC6729_01110,OXC7157_00832,OXC7004_00725,OXC7095_01507,OXC7345_00578,OXC7358_00435,OXC7452_00392,OXC4632_01023,OXC7664_00626,OXC6927_00828,H1604_00282,H1605_00599,H1606_00485,H1607_00464,H1608_00767,H1662_00337,H1664_00816,H1666_01349,H1668_01049,H1670_00608,H704_01468,H22082_00778
group_1067,,zinc ribbon domain-containing protein,36,36,1,1,1968,,,,716,716,716,OXC8500_00224,OXC8749_00094,OXC8885_00915,OXC4567_00399,OXC6332_01267,OXC6357_00725,OXC6453_00481,OXC6609_00619,OXC6729_01112,OXC7157_00830,OXC7004_00727,OXC7095_01509,OXC7345_00580,OXC7358_00437,OXC7452_00394,OXC4632_01021,OXC7664_00628,OXC6927_00826,H1604_00280,H1605_00597,H1606_00483,H1607_00462,H1608_00769,H1662_00335,H1664_00814,H1666_01351,H1668_01047,H1670_00610,H704_01627,H22082_00776
