	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
engB	298.4	298.4	298.4	300.3	297.9	300.3	297.9	298.8	297.9	297.9	300.3	300.3	300.3	300.3	299.4	298.8	299.4	298.4	298.8	298.8	297.9	297.9	300.3	298.4	300.3	300.3	299.4	298.4	298.8	298.8
ribA	316.8	316.8	316.8	316.8	316.8	315.7	316.8	315.3	316.8	316.8	316.8	316.8	316.8	315.7	315.3	315.3	315.3	316.8	315.3	315.3	316.8	316.8	316.8	316.8	315.7	316.8	315.3	316.8	315.3	315.3
acsA	1170.9	1170.9	1170.9	688.1	1170.0	1174.6	1170.0	1173.7	1170.0	1170.0	688.1	688.1	688.1	1174.6	1174.6	1173.7	1174.6	1170.9	1174.6	1173.7	1166.3	1166.3	688.1	1170.9	1172.0	688.1	1170.2	1170.9	1174.6	1174.6
cstA	1235.0	1235.0	1235.0	1235.4	1238.5	1239.8	1238.5	1236.9	1238.7	1238.5	1235.9	1235.9	1235.4	1239.8	1235.0	1236.9	1235.0	1235.0	1235.0	1236.9	1238.5	1238.5	1235.9	1235.0	1239.8	1235.9	1235.0	1235.0	1236.5	1236.5
uvrC	911.0	911.0	911.0	911.6	910.8	912.7	910.8	911.5	910.8	910.8	911.6	911.6	911.6	912.7	910.8	911.5	910.8	911.0	911.3	911.5	910.8	910.8	911.6	911.0	912.7	911.6	910.8	911.0	911.3	911.3
ygeA	382.4	382.4	382.4	383.0	382.4	381.9	382.4	382.1	382.4	382.4	383.0	383.0	383.0	381.9	382.4	382.1	382.4	382.4	382.4	382.1	382.4	382.4	383.0	382.4	381.9	383.0	381.9	382.4	382.4	381.9
group_600	529.6	529.6	529.6	530.4	526.5	527.8	523.7	523.3	526.5	526.5	530.4	530.4	530.4	527.8	529.6	523.3	529.6	529.6	529.6	523.3	526.5	526.5	530.4	529.6	527.8	530.4	529.6	529.6	529.6	529.6
group_3007	110.7	110.7	110.7	110.7	110.7	110.7	110.7	110.8	110.7	110.7	110.7	110.7	110.7	110.7	110.7	110.8	110.7	110.7	110.7	110.8	110.7	110.7	110.7	110.7	110.7	110.7	110.7	110.7	110.7	110.7
group_1706	483.6	483.6	483.6	483.8	482.2	484.0	482.2		482.2	482.2	483.8	483.8	483.8	484.0	483.6		483.6	483.6	483.6		482.2	482.2	483.8	483.6	484.0	483.8	483.6	482.5	483.6	483.6
group_1573						292.4								292.4					288.5						292.4				288.5	288.5
group_530	69.0	69.0	69.0	69.0	69.0	69.0	69.0	66.6	69.0	69.0	69.0	69.0	69.0	69.0	69.0	66.6	69.0	69.0	69.0	66.6	69.0	69.0	69.0	69.0	58.9	69.0	69.0	69.0	66.6	69.0
valS	1037.0	1037.0	1037.0	1035.8	1037.3	1032.0	1037.3	1036.1	1037.3	1037.3	1035.8	1035.8	1035.8	1032.0	1037.0	1036.1	1037.0	1037.0	1036.8	1036.1	1037.3	1037.3	1035.8	1036.4	1032.0	1035.8	1037.0	1037.0	1036.8	1036.8
cysL	401.3	401.3	401.3	401.2	401.3	401.9	401.3	400.7	401.3	401.3	401.2	401.2	401.2	401.9	401.2	401.3	401.2	401.3	401.3	401.3	401.3	401.3	401.2	401.3	401.9	401.2	401.2	401.3	401.3	401.3
group_1410	91.0	91.0	91.0	90.9	90.5	91.8	90.5	91.8	90.5	90.5	90.9	90.9	90.9	91.8	91.0	91.8	91.0	91.0	91.8	91.8	90.5	90.5	90.9	91.0	91.8	90.9	91.0	91.0	91.8	91.8
group_1180																			171.3											171.3
group_3082	482.0	482.0	482.0	478.0	482.1	480.1	482.1	480.8	482.1	482.1	478.0	478.0	478.0	480.1	482.0	480.8	482.0	482.0	482.0	480.8	482.1	482.1	478.0	482.0	475.6	478.0	482.0	482.0	482.0	482.0
group_1196	1421.1	1421.1	1421.1		1421.6	1416.4	1421.6	1421.3	1421.6	1421.6				1416.4	1421.3	1421.3	1421.3	1421.1	1419.7	1421.3	1421.6	1421.6		1421.1	1284.5		1421.9	1421.1	1419.7	1419.7
cbf2	350.9	350.9	350.9	352.0	349.9	349.3	349.9	350.9	349.9	349.9	352.0	352.0	352.0	349.3	350.9	350.9	350.9	350.9	350.9	350.9	349.9	349.9	352.0	350.9	349.3	352.0	350.9	350.9	350.9	350.9
htrB	354.2	354.2	354.2	346.1	350.0	351.6	350.0	353.2	350.0	350.0	346.1	346.1	346.1	351.6	352.6	353.2	352.6	354.2	352.2	353.2	350.0	350.0	346.1	354.2	351.6	346.1	354.2	354.2	352.2	352.2
gltD	999.8	999.8	999.8	1002.9	1005.3	1005.8	1006.8	1007.2	1005.4	1005.1	1002.9	1002.9	1002.9	1005.7	1007.8	1007.2	1007.8	999.8	1006.7	1007.2	1001.0	1005.4	1000.4	999.8	1008.9	998.6	1007.8	999.8	1006.7	1006.7
rpsB	315.3	315.3	315.3	315.0	315.3	315.3	315.3	315.3	315.3	315.3	315.0	315.0	315.0	315.3	315.3	315.3	315.3	315.3	315.3	315.3	315.3	315.3	315.0	315.3	315.3	315.0	315.3	315.3	315.3	315.3
group_3036	647.0	647.0	647.0	645.5	645.4	645.8	645.4	645.7	645.4	645.4	645.5	645.5	645.5	645.8	645.6	645.7	645.6	647.0	647.0	642.7	645.4	645.4	645.5	647.0	645.8	645.5	645.6	647.0	647.0	647.0
group_2624																			13.4										13.4	13.4
group_1736	491.5	491.5	491.5		491.7	490.2	491.7		491.7	491.7				490.2	491.5		491.5	491.5	490.2		491.7	491.7		491.5	490.2		491.5	491.5	490.4	490.4
group_3265	125.3	125.3	125.3	126.3	125.4	125.5	125.4	125.5	125.4	125.4	126.3	126.3	126.3	125.8	126.4	125.5	126.4	125.3	128.3	125.9	125.4	125.4	125.9	125.3	126.2	126.3	126.4	125.3	125.8	125.8
bioC	326.4	326.4	326.4	321.5	320.5	320.5	320.5		320.5	320.5	321.5	321.5	321.5	320.5	326.4		326.4	326.4	325.9		320.5	320.5	321.5	326.4	320.5	321.5	326.4	326.4	325.9	325.9
era	454.1	454.1	454.1	453.3	449.4	451.6	449.4	450.4	451.5	449.4	453.3	453.3	453.3	451.6	452.4	450.4	452.4	454.1	451.8	450.4	451.5	451.5	453.3	454.1	451.6	453.3	452.4	454.1	454.1	454.1
ilvC	629.9	629.9	629.9	628.9	629.3	629.9	629.3	629.3	629.4	629.3	628.9	628.9	628.9	629.9	628.5	629.3	628.5	629.9	628.5	629.3	629.3	629.3	628.9	629.9	629.9	628.9	630.3	629.9	628.2	628.5
group_1453	408.1	408.1	408.1	407.6	408.1	408.5	408.1	407.8	408.1	408.1	407.6	407.6	407.6	408.5	408.1	407.8	408.1	408.1	408.1	407.8	408.6	408.6	407.6	408.1	408.5	407.6	408.1	408.1	408.1	408.1
map	443.4	443.4	443.4	443.2	443.4	444.5	443.4	443.4	443.4	443.4	443.2	443.2	443.2	443.7	443.4	443.4	443.4	443.4	440.5	443.4	443.4	443.4	443.2	443.4	444.5	443.2	443.4	440.3	440.5	440.5
peb3	557.3	557.3	557.3	549.8	557.7	556.5	557.7	557.7	557.7	557.8	549.8	549.8	549.8	556.5	557.3	557.7	557.3	557.3	557.3	557.7	554.3	554.3	549.8	557.3	556.5	549.8	557.3	557.3	557.3	557.3
dcuA	818.2	818.2	818.2	817.2	819.6	822.2	819.6	818.6	819.6	819.6	817.2	817.2	816.0	822.2	818.2	818.6	818.2	818.2	822.2	818.6	819.6	819.6	817.2	818.2	822.2	817.2	818.2	818.2	818.2	818.2
chuC	343.1	343.1	343.1	345.2		343.1		343.5	344.8		345.2	345.2	345.2	341.2	343.1	343.5	343.1	343.1	343.1	343.5	344.8	344.8	345.2	343.1	341.2	345.2	343.1	343.1	343.1	343.1
group_589	104.5	104.5	104.5						109.2						104.5		104.5	104.5	104.5		109.2	109.2		104.5			104.4	104.5	104.5	104.5
dcuB	1019.5	1019.5	1019.5	1013.9	1012.6	1018.5	1012.6	1018.2	1012.6	1012.6	1013.9	1013.9	1013.9	1018.5	1014.0	1018.2	1017.7	1019.5	1015.0	1018.2	1012.6	1012.6	1013.9	1019.5	1018.5	1013.9	1017.7	1018.3	1015.0	1015.0
group_3308	438.0	438.0	438.0	438.5	437.8	438.2	437.8	438.5	437.8	437.8	438.5	438.5	438.5	438.2	438.0	438.5	438.0	438.0	438.0	436.8	437.8	433.9	438.5	438.0	438.2	438.5	438.0	438.0	438.0	438.0
flgE_2	738.7	738.7	738.7	738.0	738.3	738.7	738.3	738.3	738.3	738.3	738.0	738.0	738.0	736.1	738.3	738.3	738.3	738.7	738.3	737.4	738.3	738.3	738.0	738.7	737.7	738.0	738.3	738.7	738.3	738.3
rplL	222.6	222.6	222.6	223.7	222.9	223.7	222.9	222.9	222.9	222.9	223.7	223.7	223.7	223.7	223.7	222.9	222.6	222.6	222.6	222.9	222.9	222.9	220.3	222.6	222.8	223.7	222.6	222.6	222.6	222.6
yihY	343.3	343.3	343.3	343.0	343.3	344.3	343.3	343.3	343.3	343.3	343.8	343.8	343.0	344.3	343.3	343.3	343.3	343.3	343.3	343.3	343.3	343.3	343.4	343.3	344.1	343.8	344.3	343.3	343.3	343.3
relA	1133.5	1133.5	1133.5	1134.7	1134.7	1134.9	1134.7	1134.1	1134.7	1134.7	1134.7	1134.7	1134.7	1134.9	1134.2	1134.1	1134.2	1133.5	1134.7	1134.1	1134.7	1134.7	1134.7	1133.5	1134.1	1134.7	1134.2	1133.5	1134.7	1134.7
group_1332	157.2	157.2	157.2	156.6	156.5	151.2	156.5	157.1	156.5	156.5	156.6	156.6	156.6	151.2	157.4	157.1	157.4	157.2	157.4	157.1	156.5	156.5	156.6	157.2	151.2	156.6	157.4	157.2	157.4	157.4
coaD	270.1	270.1	270.1	270.1	270.1	268.6	270.1	270.1	270.1	270.1	270.1	270.1	270.1	268.6	270.1	270.1	270.1	270.1	270.1	270.1	270.1	270.1	270.1	270.1	268.6	270.1	270.1	270.1	270.1	270.1
glyS	1027.8	1027.8	1027.8	1029.5	1025.2	1024.9	1025.2	1024.9	1027.9	1025.2	1029.5	1029.5	1029.5	1024.9	1027.9	1024.9	1027.4	1027.8	1026.3	1021.6	1027.9	1027.9	1029.5	1027.8	1024.9	1029.5	1027.9	1027.8	1027.8	1027.8
group_832	514.1	514.1	514.1															514.1						514.1				514.1	695.7	695.7
group_3061	1205.1	1205.1	1205.1	1205.9	1205.8	1204.8	1205.8	1201.6	1205.8	1205.8	1205.9	1205.9	1205.9	1203.8	1205.1	1201.6	1205.1	1205.1	1205.1	1201.6	1206.1	1205.8	1205.9	1205.1	1202.5	1205.9	1205.1	1205.1	1205.1	1205.1
group_3089	246.4	246.4	246.4	246.4	246.4	246.4	246.4	246.7	246.4	246.4	246.4	246.4	246.4	246.4	246.7	246.7	246.4	246.4	246.4	246.7	246.4	246.4	246.4	246.4	246.4	246.4	246.7	246.4	246.4	246.4
tolB	578.5	578.5	578.5	579.3	579.9	577.9	579.9	578.9	579.9	579.9	579.3	579.3	579.3	577.9	578.5	578.9	578.5	578.5	578.5	578.9	579.9	579.9	579.3	578.5	577.9	579.2	578.5	578.2	578.5	578.5
group_922	229.7	229.7	229.7	230.1	230.1	229.5	230.1	230.1	230.1	230.1	230.1	230.1	230.1	229.5	230.0	230.1	229.7	229.7	229.7	230.1	230.1	230.1		229.7	229.5		229.7	229.7	229.7	229.7
fabI	531.3	531.3	531.3	532.9	532.9	532.8	532.9		532.9	532.9	532.9	532.9	532.9	532.8	532.8		532.8	531.3	532.8		532.9	532.9	532.9	531.3	532.8	532.9	532.8	531.3	532.8	532.8
uppS	338.4	338.4	338.4	338.4	338.4	337.0	338.4	338.4	338.4	338.4	338.4	338.4	338.4	337.0	338.4	338.4	338.4	338.4	338.4	338.4	338.4	338.4	338.4	338.4	336.9	338.4	338.4	338.4	338.4	338.4
flhF	629.5	629.5	629.5	627.6	629.2	629.5	629.2	627.9	629.2	629.2	627.6	627.6	627.6	629.5	629.5	627.9	629.5	629.5	629.5	626.1	629.2	629.2	627.6	629.5	629.1	627.6	629.2	629.5	629.5	629.5
dctA_1																	359.0													810.8
group_3144	334.3	334.3	334.3	334.6	330.9	334.6	330.9	333.3	330.9	330.9	334.6	334.6	334.6	334.6	334.3	333.3	334.3	334.3	334.3	333.3	330.9	330.9	334.6	334.3	334.3	334.6	334.3	334.3	334.3	334.3
aroE	382.6	382.6	382.6	379.5	382.6	381.3	382.6	382.6	382.6	382.6	379.5	379.5	379.5	381.3	382.6	382.6	382.6	382.6	382.6	382.6	382.6	382.6	379.5	382.6	381.3	379.5	382.6	382.6	382.6	382.6
cfbpC	464.3	464.3	464.3	467.8	458.7	464.3	458.7	461.4	468.4	458.7	467.8	467.8	467.8	464.3	464.3	461.4	464.3	464.3	464.3	461.4	458.7	458.7	467.8	464.3	464.3	467.8	464.3	464.3	464.3	464.3
group_2721	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2	90.2
cysW	434.7	435.2	435.2	432.3	431.3	435.2	431.3	434.0	431.3	431.3	432.3	432.3	432.3	435.2	435.2	434.0	435.2	435.2	435.2	434.0	431.3	431.3	432.3	435.2	435.2	432.3	435.2	431.4	435.2	435.2
thiL	413.4	413.4	413.4	411.0	410.8	408.4	410.8	413.4	410.8	410.8	411.0	411.0	411.0	408.4	411.3	413.4	411.3	413.4	413.4	413.4	410.8	410.8	411.0	413.4	408.4	411.0	411.3	413.4	413.4	413.4
yccU	176.2	176.2	176.2	178.8	178.2	178.2	178.2	176.2	178.2	178.2	178.8	178.8	178.8	178.2	174.9	176.2	174.9	176.2	174.9	176.2	178.2	178.2	178.8	176.2	178.2	178.8	174.9	176.2	174.9	174.9
nucA	312.9	311.3	312.9	309.2	312.9	309.9	312.9	314.5	312.9	312.9	309.2	309.2	309.2	309.9	309.9	314.5	312.9	312.9	319.1	311.7	312.9	312.9	309.2	312.9	309.9	309.2	312.9	312.9	319.1	319.1
sphX	617.3	617.3	617.3	619.5	618.2	619.0	618.2		618.2	618.2	619.5	619.5	619.5	619.0	619.6		619.6	617.3	619.6		618.2	618.2	619.5	617.3	619.0	619.5	619.6	616.2	619.1	619.6
pycB	1060.3	1060.3	1060.3	1059.3	1057.0	1054.2	1057.0	1059.7	1055.8	1057.0	1059.3	1059.3	1059.3	1054.2	1060.3	1059.7	1060.3	1060.3	1060.3	1059.7	1057.0	1057.0	1058.5	1060.3	1054.2	1059.3	1060.3	1060.3	1060.3	1060.3
adk	336.8	336.8	336.8	336.8	336.8	336.8	336.8	335.8	336.8	336.8	336.8	336.8	336.8	336.8	336.7	335.8	336.7	336.8	335.8	335.8	336.8	336.8	336.8	336.8	336.8	336.8	336.7	336.8	335.8	335.8
mraW	476.3	476.3	476.3	477.5	477.3	476.1	477.3	476.0	477.3	477.3	477.5	477.5	477.5	476.1	476.3	476.0	476.3	476.3	477.3	476.0	477.3	477.3	477.5	476.3	476.1	477.5	476.3	475.7	477.3	477.3
glnP	250.1	250.1	250.1	247.9	250.2	250.2	250.2	250.8	250.2	250.2	247.9	247.9	247.9	250.2	250.2	250.8	250.2	250.1	250.2	250.8	250.2	250.2	247.9	250.1	248.9	247.9	250.6	250.1	250.2	250.2
group_830	249.1	249.1	249.1	247.6	247.0	248.7	247.0	246.5	247.0	247.0	247.6	247.6	247.6	248.7	249.1	246.5	249.1	249.1	249.1	246.5	247.0	247.0	247.6	249.1	248.7	247.6	249.1	249.1	249.1	249.1
ylxH_2	650.7	650.7	650.7	652.6	652.4	653.2	652.4	650.7	652.4	652.4	652.6	652.6	652.6	653.2	650.7	650.7	650.7	650.7	651.9	650.7	652.4	652.4	652.6	650.7	652.4	652.6	650.7	650.7	651.9	651.9
csd	539.0	539.0	539.0	538.7	539.0	536.7	539.0	539.0	539.0	539.0	538.7	538.7	538.7	536.7	539.1	539.0	539.1	539.0	539.1	539.0	539.0	539.0	538.7	539.0	536.7	538.7	539.1	539.0	539.1	539.1
group_1748	768.6	768.6	768.6			764.7								768.3	768.6		768.6	768.6	767.5					768.6	764.7		768.6	765.7	767.5	767.5
cynT	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5	332.5
rplB	574.6	574.6	574.6	573.1	574.2	574.6	574.2	574.6	574.2	574.2	573.1	573.1	573.1	574.6	574.6	574.6	574.6	574.6	574.2	574.6	574.2	574.2	573.1	574.6	574.6	573.1	574.6	574.6	574.6	574.6
ceuB	151.3	151.4	151.3	151.4	151.9	150.8	151.9	148.6	151.9	151.9	151.4	151.4	151.4	150.8	151.0	148.6	151.0	151.4	151.3	148.6	151.9	151.9	151.4	151.4	150.8	151.4	151.0	151.4	150.6	150.6
group_3092	402.5	402.5	402.5	403.1	401.3	402.7	401.3	403.7	401.3	401.3	403.1	403.1	403.1	402.7	402.7	403.7	402.7	402.5	402.7	403.7	401.3	401.3	403.1	402.5	402.7	403.1	402.7	402.5	402.7	402.7
dapH	303.7	303.7	303.7	303.9	303.8	304.2	303.8	303.8	303.8	303.8	303.9	303.9	303.9	304.2	304.2	303.8	304.2	303.7	304.2	303.8	303.8	303.8	303.9	303.7	304.2	303.9	304.2	303.7	304.2	304.2
group_692					16.5	16.2	16.5	16.5	16.5	16.5				16.2	16.1	16.5	16.1		16.2	16.5	16.5	16.5			16.2		16.1
pspA	414.3	414.3	414.3	412.8	412.9	414.3	412.9	414.0	412.9	412.9	412.8	412.8	412.8	414.3	414.3	414.0	414.3	414.3	413.2	414.0	412.9	412.9	412.8	414.3	414.2	412.8	414.2	414.3	413.2	413.2
porA_3	2330.4	2330.4	2330.4	2328.2	2330.0	2330.4	2330.0	2330.0	2330.0	2330.0	2328.2	2328.2	2328.2	2330.4	2330.4	2330.0	2330.4	2330.4	2327.5	2329.4	2330.0	2330.0	2327.6	2330.4	2328.2	2328.2	2330.4	2330.4	2330.4	2330.4
fbp	449.2	449.2	449.2	449.2	450.5	448.7	450.5	449.7	450.5	450.5	449.2	449.2	449.2	450.3	449.2	449.7	449.2	449.2	450.3	449.7	450.5	450.5	449.2	449.2	448.7	449.2	449.2	449.2	450.3	450.3
comEA	132.7	132.7	132.7	134.0	132.7	132.7	132.7	132.7	132.7	132.7	134.0	134.0	134.0	134.0	132.7	132.7	132.7	132.7	132.7	132.7	132.7	132.7	134.0	132.7	134.0	134.0	132.7	132.7	132.7	132.7
flgI	543.5	543.5	543.5	543.7	543.7	543.7	543.7	543.7	543.7	543.7	543.7	543.7	543.7	543.7	543.5	543.7	543.5	543.5	543.7	543.7	543.7	543.7	543.7	543.5	543.7	543.7	543.5	543.5	543.7	543.7
tdcF	159.6	159.6	159.6	159.1	159.7	159.4	159.7	160.2	159.7	159.7	159.1	159.1	159.1	159.4	157.8	160.2	157.8	159.6	159.1	160.2	159.7	159.7	159.1	159.6	159.4	159.1	157.8	159.6	159.1	159.1
group_3176	148.7	148.7	148.7	148.7	149.3	147.3	149.3	146.2	149.3	149.3	148.7	148.7	148.7	147.3	148.7	146.2	148.7	148.7	147.2	146.2	149.3	149.3	148.7	148.7	147.3	148.7	148.7	148.7	147.2	147.2
murD	633.9	633.9	633.9	631.8	628.3	629.5	628.3	630.0	628.3	628.3	631.8	631.8	631.8	629.5	633.7	630.0	633.7	633.9	632.9	630.0	628.3	628.3	631.8	633.9	629.5	631.8	633.7	633.9	632.9	632.9
aroB	553.6	553.6	553.6	555.3	553.1	554.6	553.1	553.1	553.1	553.1	555.3	555.3	555.3	554.6	551.4	553.1	551.4	553.6	553.6	553.1	553.1	553.1	555.3	553.6	554.6	555.3	551.4	553.6	553.6	553.6
nhaA	532.5	532.5	532.5	531.9	532.6	531.8	532.6	531.7	532.6	532.6	531.9	531.9	531.9	531.9	532.5	531.7	532.5	532.5	532.6	531.7	532.6	532.6	531.9	532.5	531.8	531.9	532.5	532.5	532.6	532.6
sopT	578.8	578.8	578.8	577.5	578.4	578.1	578.4	578.4	578.4	578.4	577.5	577.5	577.5	578.1	577.1	578.4	577.1	578.8	577.1	578.4	578.4	578.4	577.5	578.8	578.1	577.5	577.1	578.8	577.1	577.1
group_1235	311.6	311.6	311.6	309.5	311.8	311.6	311.8	311.5	311.8	311.8	309.5	309.5	309.5	311.6	311.6	311.5	311.6	311.6	311.6	311.5	311.8	311.8	309.5	311.6	311.8	309.5	311.6	311.6	311.6	311.6
gmhA1	314.1	314.1	314.1	313.1	314.6	314.7	314.6	315.1	312.1	314.6	313.1	313.1	313.1	314.7	314.1	315.1	314.1	314.1	314.0	315.1	312.1	312.1	313.1	314.1	314.7	313.1	314.1	314.1	314.0	314.0
group_1459	208.9	208.9	208.9	212.4	212.9	208.9	212.9	208.9	212.9	212.9	212.4	212.4	212.4	208.9	212.9	208.9	212.9	208.9	208.9	208.9	212.9	212.9	212.4	208.9	208.9	212.4	208.9	208.9	208.9	208.9
yojI	126.7	126.7	126.7	126.6	126.1	126.3	126.1	126.3	125.9	126.1	126.6	126.6	126.6	126.3	126.3	126.3	126.3	126.7	126.0	126.3	126.1	126.1	126.6	126.7	126.3	126.6	126.3	126.7	126.3	126.0
group_555	480.8	480.8	480.8	487.4	484.2	483.5	484.2	483.3	484.2	484.2	487.4	487.4	487.4	483.5	483.5	483.3	483.5	480.8	482.3	483.3	484.2	484.2	487.4	480.8	483.5	487.4	483.5	223.0	482.3	483.5
group_1053	16.8	16.8	16.8			16.7		16.4						16.7	16.8	16.4	16.8	16.8		16.4				16.8	16.7		16.8	16.8
rplQ	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2	219.2
pyrH	456.7	456.7	456.7	458.1	456.7	458.1	456.7	458.1	456.7	456.7	458.1	458.1	458.1	458.1	456.7	458.1	456.7	456.7	456.0	458.1	456.7	456.7	458.1	456.7	458.1	458.1	456.7	456.7	458.1	458.1
group_3341	188.6	188.6	188.6	189.2	188.6	188.6	188.6	188.6	188.6	188.6	189.2	189.2	189.2	188.6	188.6	188.6	188.6	188.6	188.6	188.6	188.6	188.6	189.2	188.6	190.4	189.2	190.4	188.6	188.6	188.6
proB	406.7	406.7	406.7	406.7	405.6	406.7	405.6	403.9	406.7	405.6	406.7	406.7	406.7	406.7	406.7	403.9	406.7	406.7	406.7	403.9	405.6	405.6	406.7	406.7	406.7	406.7	406.7	406.7	406.7	406.7
pglF	962.1	962.1	962.1	961.1	960.8	962.3	960.8	962.3	960.8	960.8	961.1	961.1	961.1	962.3	962.3	962.3	962.3	962.1	962.0	961.4	960.8	960.8	961.1	962.1	962.3	961.1	962.3	959.1	962.0	962.0
ndk	271.6	271.6	271.6	272.3	272.3	271.6	272.3	272.3	272.3	272.3	272.3	272.3	272.3	271.6	271.6	272.3	271.6	271.6	271.6	272.3	272.3	272.3	272.3	271.6	271.6	272.3	271.6	271.6	271.6	271.6
ispH	499.8	499.2	499.8	499.5	499.3	499.3	499.3	499.8	499.3	499.3	499.5	499.5	499.5	499.3	499.8	499.8	499.8	499.2	499.5	499.8	499.3	499.3	499.5	499.2	499.3	499.5	499.8	494.0	499.5	499.5
yxeP	604.0	604.0	604.0	603.8	604.0	602.4	604.0	604.0	604.0	604.0	603.8	603.8	603.8	602.4	601.1	604.0	604.0	604.0	604.0	604.0	604.0	604.0	603.8	604.0	604.0	603.8	604.0	604.0	604.0	604.0
futA1	578.4	578.4	578.4	573.4	577.8	578.4	577.8	579.6	578.6	577.8	573.4	573.4	573.4	578.4	578.4	579.6	578.4	578.4	576.9	579.6	577.8	577.8	573.4	578.4	578.4	573.4	578.4	578.4	578.4	578.4
tdcG	831.2	831.2	831.2	830.6	830.8	831.2	830.8	830.7	830.8	830.8	830.6	830.6	830.6	831.2	831.2	830.7	831.2	831.2	831.2	830.7	830.8	830.8	830.6	831.2	761.6	830.6	831.2	831.2	830.7	830.7
group_1318	393.6	393.6	393.6	388.5	394.4	394.2	394.4	393.3	394.4	393.5	388.5	388.5	388.5	394.2	393.6	393.3	393.6	393.6	395.8	393.3	394.4	394.4	388.5	393.6	391.4	388.5	393.6	393.6	395.8	395.8
